"dataset","source_id","file_name","source_url","expected_bytes","ancestry","genome_build","license","overlap_note","cohort_membership","known_overlap_datasets","replication_role","resolved_at_utc","checksum_algorithm","expected_checksum"
"cytokines_2025_meta","GCST90428399","GCST90428399.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428399/harmonised/GCST90428399.h.tsv.gz",261010531,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","c5c9c75995a8cf1928d43b6d2daeb9d4"
"cytokines_2025_meta","GCST90428400","GCST90428400.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428400/harmonised/GCST90428400.h.tsv.gz",377669070,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","da59e0c422f168ea7f274302999076e6"
"cytokines_2025_meta","GCST90428401","GCST90428401.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428401/harmonised/GCST90428401.h.tsv.gz",255610230,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","d34d6a2a1820b316f7dbbb84453baf46"
"cytokines_2025_meta","GCST90428402","GCST90428402.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428402/harmonised/GCST90428402.h.tsv.gz",261358494,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","20bd423bc257fdf90f6d2b8acd0f06ba"
"cytokines_2025_meta","GCST90428403","GCST90428403.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428403/harmonised/GCST90428403.h.tsv.gz",292055188,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","6fa37a1d004567019c32282a6cc92d1b"
"cytokines_2025_meta","GCST90428404","GCST90428404.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428404/harmonised/GCST90428404.h.tsv.gz",397571623,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","5f703474643887f833100b1878b1a955"
"cytokines_2025_meta","GCST90428405","GCST90428405.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428405/harmonised/GCST90428405.h.tsv.gz",392915884,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","198f8119f5eaec584a2b2b096d85e3cc"
"cytokines_2025_meta","GCST90428406","GCST90428406.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428406/harmonised/GCST90428406.h.tsv.gz",241714705,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","94a8f8dca832df8dc0ff4c4e07a1c6ae"
"cytokines_2025_meta","GCST90428407","GCST90428407.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428407/harmonised/GCST90428407.h.tsv.gz",293027204,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","96e49f09f21f5ab25485678c22ce4f2c"
"cytokines_2025_meta","GCST90428408","GCST90428408.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428408/harmonised/GCST90428408.h.tsv.gz",260331228,"EUR","GRCh38","GWAS Catalog CC0","Known partial overlap with FinnGen through legacy FINRISK; screening/sensitivity only","YFS_FINRISK;SCALLOP;deCODE","","mechanistic_mediator_screen_known_partial_overlap","2026-07-20T17:28:01Z","md5","aa11e5e6caef52b0f323a75b01ffe521"
