"dataset","source_id","file_name","source_url","expected_bytes","ancestry","genome_build","license","overlap_note","cohort_membership","known_overlap_datasets","replication_role","resolved_at_utc","checksum_algorithm","expected_checksum"
"microbiome_2026","GCST90670368","GCST90670368.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670368/GCST90670368.tsv.gz",127842396,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","4fae3f25c37f5591ad35863b987dae95"
"microbiome_2026","GCST90670368","GCST90670368.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670368/GCST90670368.tsv.gz-meta.yaml",756,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","979be547b351f438cc09ebe3708f7a3b"
"microbiome_2026","GCST90670369","GCST90670369.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670369/GCST90670369.tsv.gz",127803168,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","d2681e967bfdf27691dfd3c1ccaea5f8"
"microbiome_2026","GCST90670369","GCST90670369.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670369/GCST90670369.tsv.gz-meta.yaml",765,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","dbd0dfbf0b78889bf3f747dd4c9dee04"
"microbiome_2026","GCST90670370","GCST90670370.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670370/GCST90670370.tsv.gz",127805009,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","392d3ae275c444e2f50111a069951a95"
"microbiome_2026","GCST90670370","GCST90670370.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670370/GCST90670370.tsv.gz-meta.yaml",773,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","05a1b05b0e72b3eb073222f5cf962014"
"microbiome_2026","GCST90670371","GCST90670371.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670371/GCST90670371.tsv.gz",127811047,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","bd188a9192ee8dc82919d4319be899c1"
"microbiome_2026","GCST90670371","GCST90670371.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670371/GCST90670371.tsv.gz-meta.yaml",967,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","bbc1719193de8aa51577989aa90c4358"
"microbiome_2026","GCST90670372","GCST90670372.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670372/GCST90670372.tsv.gz",127734985,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","6b30eef1ae6edc0c8c33b29a044076f4"
"microbiome_2026","GCST90670372","GCST90670372.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670372/GCST90670372.tsv.gz-meta.yaml",982,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","e8b59fe9432f3656ea5021c8af846709"
"microbiome_2026","GCST90670373","GCST90670373.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670373/GCST90670373.tsv.gz",127780237,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","647cc39f50d6966f415dee6d44229e40"
"microbiome_2026","GCST90670373","GCST90670373.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670373/GCST90670373.tsv.gz-meta.yaml",960,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","bb1967ea777df39faa7d47926ef9ef67"
"microbiome_2026","GCST90670374","GCST90670374.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670374/GCST90670374.tsv.gz",127706865,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","4484b1cd70fe21e6a9b2a7a9d2295275"
"microbiome_2026","GCST90670374","GCST90670374.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670374/GCST90670374.tsv.gz-meta.yaml",994,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","b338da53c92d75e78278096976ab5dff"
"microbiome_2026","GCST90670375","GCST90670375.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670375/GCST90670375.tsv.gz",127489496,"EUR","GRCh37","GWAS Catalog CC0 or accession-specific terms","Swedish discovery cohorts","Swedish_discovery_cohorts","","exposure_discovery","2026-07-11T06:36:28Z","md5","827cda77d3630b170eae5d345a4dda19"
