"pair_id","source_id","outcome_id","dataset","trait","tier","requested_instrument_rows","harmonised_snps","excluded_snps","pair_harmonisation_status","outcome_ancestry","analysis_role","effect_scale","exposure_role","exposure_outcome_overlap_class","cross_analysis_dependence","method","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","family","eligible","eligibility_frozen","n_forward","q","fdr_alpha","fdr_significant","n_reverse","global_bonferroni_threshold","global_bonferroni_status","replication_source_id","canonical_trait_id","replication_trait","validation_tier","validation_method","validation_nsnp","validation_beta","validation_se","validation_ci_lower","validation_ci_upper","validation_p","validation_status","robust_estimable_count","robust_same_sign","robust_methods_same_sign","egger_intercept_p","steiger_status","steiger_reason","presso_status","discovery_fdr_gate","conditional_discovery_gate","trait_mapping_gate","validation_overlap_class","validation_effect_gate","robust_direction_gate","steiger_gate","pleiotropy_gate","replicated","conditional_go_candidate","gate_failure_reasons"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670781|primary","GCST90670781","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome species presence (Fimisoma avicola, GCA_900542565.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.422443770415306,0.15717918805413,0.114378222709963,0.730509318120648,0.00719552323281241,TRUE,1.52568542853347,1.12117609896328,2.0761377530182,34.6610388238135,34.6610388238135,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family","GCST90666821","taxon:fimisoma avicola","Gut microbiota relative abundance (hMGS.01120: Fimisoma avicola)","exploratory","mr_ivw_mre",23,0.0921661618860208,0.116108677268188,-0.135402663852212,0.319734987624254,0.427316416665184,"estimated",0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,TRUE,"none_known",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670586|primary","GCST90670586","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome species presence (UBA644 sp900547165, GCA_900547165.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.434740415335463,0.170149361022364,0.101253795739126,0.7682270349318,0.0106172024821376,TRUE,1.5445620622825,1.10655744569331,2.15594045616641,34.3884735834673,34.3884735834673,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family","GCST90666713","taxon:uba644 sp900547165","Gut microbiota relative abundance (hMGS.00398: UBA644 sp900547165)","exploratory","mr_ivw_mre",20,0.167755067225971,0.123751872252098,-0.0747941454075431,0.410304279859485,0.175234114217682,"estimated",0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,TRUE,"none_known",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671709|primary","GCST90671709","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome family presence (Peptococcaceae)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671773|primary","GCST90671773","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome order presence (Peptococcales)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671803|primary","GCST90671803","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome class presence (Peptococcia)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671656|primary","GCST90671656","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome family abundance (Bacteroidaceae)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.917721126760564,0.435869014084507,0.0634335571779484,1.77200869634318,0.0352480232576871,TRUE,2.5035785459728,1.06548868937415,5.88265797503392,30.767822265625,30.767822265625,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671134|primary","GCST90671134","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome species presence (CAG-302 sp934162325, GCA_934162325.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.37768117694478,0.189769850866586,-0.749623249994826,-0.00573910389473464,0.0465682005677712,TRUE,0.685449002777527,0.472544550370402,0.994277333302063,31.650192049609,31.650192049609,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670437|primary","GCST90670437","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome species abundance (Blautia A massiliensis, GCF_001487165.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.950198505869797,0.491971184631804,-1.91444430917964,0.0140472974400427,0.0534322589178885,TRUE,0.386664260710434,0.147423731843211,1.01414642433386,30.7401351493295,30.7401351493295,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family","GCST90666604","taxon:blautia a massiliensis","Gut microbiota relative abundance (hMGS.00082: Blautia A massiliensis)","exploratory","mr_ivw_mre",14,-0.0778804381766395,0.102734412246679,-0.279236186153021,0.123475309799741,0.448405801784033,"estimated",0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,FALSE,TRUE,"none_known",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670813|primary","GCST90670813","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome species abundance (Lawsonibacter sp900066645, GCA_902362775.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-1.11728116710875,0.582581786030062,-2.25912048577669,0.0245581515591877,0.0551351090514849,TRUE,0.32716810189272,0.104442302862063,1.0248621867085,32.3012297669251,32.3012297669251,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family","GCST90666835","taxon:lawsonibacter sp900066645","Gut microbiota relative abundance (hMGS.01257: Lawsonibacter sp900066645)","exploratory","mr_ivw_mre",10,0.0445554195368152,0.147650485054523,-0.244834213469919,0.33394505254355,0.762832912885979,"estimated",0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,FALSE,TRUE,"none_known",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;validation_effect;robust_direction;steiger;pleiotropy"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671581|primary","GCST90671581","finngen_r12_erectile_dysfunction","microbiome_2026","Gut microbiome genus presence (Catenibacillus)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.350194931773879,0.182798570500325,-0.708473546379922,0.00808368283216349,0.0553979207768969,TRUE,0.704550737006992,0.492395242597922,1.00811644401373,31.7798575051322,31.7798575051322,"estimated","",,"forward_primary",TRUE,TRUE,230,0.941636540848568,0.05,FALSE,,,"pending_reverse_family",,,,,,,,,,,,,0,FALSE,"",,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps",FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"discovery_fdr;trait_mapping;validation_effect;robust_direction;steiger;pleiotropy"
