"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","EUR","GRCh37","primary",5e-08,25,25,25,1,36,36,""
"microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","EUR","GRCh37","exploratory",1e-05,245,245,244,20,19.7062226487862,22.6321120161753,""
"microbiome_2026","GCST90670369","Gut microbiome alpha diversity abundance (Shannon diversity)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670369","Gut microbiome alpha diversity abundance (Shannon diversity)","EUR","GRCh37","exploratory",1e-05,92,92,92,21,19.5977455029105,21.5259087312471,""
"microbiome_2026","GCST90670370","Gut microbiome alpha diversity abundance (Inverse Simpson diversity)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670370","Gut microbiome alpha diversity abundance (Inverse Simpson diversity)","EUR","GRCh37","exploratory",1e-05,88,88,87,18,19.5758501112779,21.9226200446225,""
"microbiome_2026","GCST90670371","Gut microbiome species abundance (Agathobacter rectalis, GCA_000020605.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670371","Gut microbiome species abundance (Agathobacter rectalis, GCA_000020605.1)","EUR","GRCh37","exploratory",1e-05,108,108,107,11,19.6822136076432,22.8734132718301,""
"microbiome_2026","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","EUR","GRCh37","primary",5e-08,48,48,48,1,35.2174146734749,35.2174146734749,""
"microbiome_2026","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","EUR","GRCh37","exploratory",1e-05,227,227,223,21,19.552978515625,21.9404789877437,""
"microbiome_2026","GCST90670373","Gut microbiome species abundance (Gemmiger qucibialis, GCA_004000625.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670373","Gut microbiome species abundance (Gemmiger qucibialis, GCA_004000625.1)","EUR","GRCh37","exploratory",1e-05,145,145,141,17,19.5739210284665,21.8789820149693,""
