"exposure_id","module_id","exposure_trait","mediator_id","mediator_name","a_beta","a_se","b_beta","b_se","indirect_beta","indirect_se","ci_lower","ci_upper","p","p_for_fdr","q","fdr_alpha","product_fdr_significant","x_to_m_fdr_significant","m_to_y_fdr_significant","component_fdr_gate","overlap_class","variance_status","colocalization_status","analysis_status","evidence_label","family","family_denominator"
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","endothelial_SELE","E-selectin / SELE",-0.047642944715127,0.1418701020406,-0.0695722379603399,0.268423984891407,0.00331462628685213,0.0161544797807371,-0.0283481540833925,0.0349774066570968,0.837429070541201,0.837429070541201,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","endothelial_SELE","E-selectin / SELE",0.596756034198099,0.234326202761787,-0.0695722379603399,0.268423984891407,-0.0415176528154989,0.1610110893695,-0.357099387979719,0.274064082348721,0.796518152198692,0.796518152198692,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","endothelial_SELE","E-selectin / SELE",0.0777633101851852,0.150101273148148,-0.0695722379603399,0.268423984891407,-0.00541016752078743,0.0233400588207349,-0.0511566828094278,0.040336347767853,0.81669529102828,0.81669529102828,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","endothelial_SELE","E-selectin / SELE",-0.000929329163743152,0.201199763950392,-0.0695722379603399,0.268423984891407,6.46555097234223e-05,0.0140001404169842,-0.0273756197075655,0.0275049307270124,0.996315219128664,0.996315219128664,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","endothelial_SELE","E-selectin / SELE",0.0333266068622235,0.161129557948549,-0.0695722379603399,0.268423984891407,-0.00231860662302931,0.0143419723611492,-0.0304288724508817,0.0257916592048231,0.871569027539592,0.871569027539592,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","endothelial_ESM1","Endocan / ESM-1",0.0222333742003926,0.250919508833002,-0.502773889950153,0.278494838717319,-0.0111783600334487,0.126307638641647,-0.258741331771077,0.23638461170418,0.929478441085599,0.929478441085599,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","endothelial_ESM1","Endocan / ESM-1",-0.194940304504712,0.440008115882065,-0.502773889950153,0.278494838717319,0.0980108952039016,0.227788739754564,-0.348455034715043,0.544476825122847,0.666998499596495,0.666998499596495,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","endothelial_ESM1","Endocan / ESM-1",-0.096752025462963,0.283022280092593,-0.502773889950153,0.278494838717319,0.0486443922025701,0.144824866397282,-0.235212345936103,0.332501130341243,0.736958151478989,0.736958151478989,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","endothelial_ESM1","Endocan / ESM-1",-0.145440014125803,0.337346486438764,-0.502773889950153,0.278494838717319,0.0731234416564353,0.174378359996388,-0.268658143936485,0.414905027249356,0.674969258865686,0.674969258865686,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","endothelial_ESM1","Endocan / ESM-1",0.286792268227208,0.315532644787291,-0.502773889950153,0.278494838717319,-0.144191664304221,0.177613042551967,-0.492313227706077,0.203929899097635,0.416888965685593,0.416888965685593,1,0.05,FALSE,FALSE,FALSE,FALSE,"possible_unresolved","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","endothelial_indirect",45
