"pair_id","outcome_id","dataset","source_id","trait","tier","requested_instrument_rows","harmonised_snps","excluded_snps","pair_harmonisation_status","outcome_ancestry","analysis_role","effect_scale","exposure_role","exposure_outcome_overlap_class","cross_analysis_dependence","method","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","family","eligible","eligibility_frozen","q","fdr_alpha","fdr_significant","replicated","conditional_go_candidate","n_forward","n_reverse","global_bonferroni_threshold","global_bonferroni_status","bonferroni_pass","analysis_role_final","evidence_label","direction","canonical_trait_id"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670781|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90670781","Gut microbiome species presence (Fimisoma avicola, GCA_900542565.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.422443770415306,0.15717918805413,0.114378222709963,0.730509318120648,0.00719552323281241,TRUE,1.52568542853347,1.12117609896328,2.0761377530182,34.6610388238135,34.6610388238135,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670586|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90670586","Gut microbiome species presence (UBA644 sp900547165, GCA_900547165.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.434740415335463,0.170149361022364,0.101253795739126,0.7682270349318,0.0106172024821376,TRUE,1.5445620622825,1.10655744569331,2.15594045616641,34.3884735834673,34.3884735834673,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671709|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671709","Gut microbiome family presence (Peptococcaceae)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671773|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671773","Gut microbiome order presence (Peptococcales)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671803|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671803","Gut microbiome class presence (Peptococcia)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.43049081920904,0.188856638418079,-0.800643028749778,-0.0603386096683011,0.0226398401078971,TRUE,0.650189890706111,0.44904012555089,0.941445696991537,31.5736961451247,31.5736961451247,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671656|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671656","Gut microbiome family abundance (Bacteroidaceae)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,0.917721126760564,0.435869014084507,0.0634335571779484,1.77200869634318,0.0352480232576871,TRUE,2.5035785459728,1.06548868937415,5.88265797503392,30.767822265625,30.767822265625,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671134|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671134","Gut microbiome species presence (CAG-302 sp934162325, GCA_934162325.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.37768117694478,0.189769850866586,-0.749623249994826,-0.00573910389473464,0.0465682005677712,TRUE,0.685449002777527,0.472544550370402,0.994277333302063,31.650192049609,31.650192049609,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670437|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90670437","Gut microbiome species abundance (Blautia A massiliensis, GCF_001487165.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.950198505869797,0.491971184631804,-1.91444430917964,0.0140472974400427,0.0534322589178885,TRUE,0.386664260710434,0.147423731843211,1.01414642433386,30.7401351493295,30.7401351493295,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670813|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90670813","Gut microbiome species abundance (Lawsonibacter sp900066645, GCA_902362775.1)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-1.11728116710875,0.582581786030062,-2.25912048577669,0.0245581515591877,0.0551351090514849,TRUE,0.32716810189272,0.104442302862063,1.0248621867085,32.3012297669251,32.3012297669251,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90671581|primary","finngen_r12_erectile_dysfunction","microbiome_2026","GCST90671581","Gut microbiome genus presence (Catenibacillus)","primary",1,1,0,"estimable","Finnish","primary_outcome","log_odds","discovery_exposure","none_known","primary_outcome","mr_wald_ratio",1,-0.350194931773879,0.182798570500325,-0.708473546379922,0.00808368283216349,0.0553979207768969,TRUE,0.704550737006992,0.492395242597922,1.00811644401373,31.7798575051322,31.7798575051322,"estimated","",,"forward_primary",TRUE,TRUE,0.941636540848568,0.05,FALSE,FALSE,FALSE,230,1572,2.77469478357381e-05,"computed",FALSE,"forward_causal","exploratory","forward",
