"pair_id","nsnp","ivw_Q","ivw_Q_df","ivw_Q_p","egger_intercept","egger_intercept_se","egger_intercept_p","steiger_status","steiger_reason","presso_status","loo_status","singlesnp_status"
"ed_2025_afr|microbiome_2026_hunt|GCST90666541|exploratory",10,20.6990761259327,9,0.0140557012090748,0.00590415524064117,0.00346517649090874,0.126810821574158,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666542|exploratory",9,13.6510013503241,8,0.0913278336104742,-0.000831996098046161,0.00286257263016579,0.779744194488603,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666542|primary",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"ed_2025_afr|microbiome_2026_hunt|GCST90666543|exploratory",6,14.5116648208105,5,0.0126660003467911,0.00892074903343017,0.0107532393687879,0.453410899218568,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666544|exploratory",6,1.39293754424146,5,0.925084267969901,-0.00320887206656571,0.00472572551687489,0.534382044855596,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666545|exploratory",8,12.0600439421092,7,0.0986015008026225,-0.00111768708947839,0.00555091427526978,0.847076111949675,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666546|exploratory",7,3.93363248223981,6,0.685657451952357,0.00779767126882051,0.00761564266466812,0.352841082538358,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666546|primary",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"ed_2025_afr|microbiome_2026_hunt|GCST90666547|exploratory",7,4.682938908496,6,0.58507262804764,-0.000891196375766558,0.0020532872808552,0.6823539236157,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666547|primary",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"ed_2025_afr|microbiome_2026_hunt|GCST90666548|exploratory",7,3.84078711629339,6,0.6982119315237,0.00187946903622052,0.00559190885190152,0.750437568968557,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666549|exploratory",8,4.41163311391164,7,0.731330345002011,-0.00191310320792065,0.00365195914580962,0.619156650863847,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666550|exploratory",7,8.78018898445206,6,0.186322686334791,-0.00208531958035932,0.00533536179585186,0.712007760552565,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666551|exploratory",7,2.81949355457975,6,0.831137394541293,0.000378858141396609,0.0027650549483565,0.896364072881387,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666551|primary",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"ed_2025_afr|microbiome_2026_hunt|GCST90666552|exploratory",9,5.49544345781291,8,0.703544768823999,0.000153266430571775,0.00225519496431795,0.947716799571002,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666553|exploratory",4,4.1855818098814,3,0.242109389559264,0.00962634832226646,0.00768644563919168,0.33702689832705,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666554|exploratory",5,6.34374369410874,4,0.174905923820119,-0.00659083710208663,0.00400625059500238,0.198491323339747,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666555|exploratory",5,2.45637532875966,4,0.652464129078395,-0.0034510223941431,0.00607965988128278,0.60998606798344,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666555|primary",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"ed_2025_afr|microbiome_2026_hunt|GCST90666556|exploratory",8,2.58359443547078,7,0.920671892223404,0.000597744454258148,0.00270090052440231,0.832188315882615,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666557|exploratory",11,11.4040186110363,10,0.326919187919164,-0.00394391960198765,0.00244136603106406,0.14066827961644,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666557|primary",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"ed_2025_afr|microbiome_2026_hunt|GCST90666558|exploratory",10,7.12532624788089,9,0.624072884394809,0.000851451683390176,0.00259523001946242,0.751270658419673,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666559|exploratory",6,4.97418397509825,5,0.419038940498937,-0.00224100772184414,0.00528028132147834,0.693098014815855,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666560|exploratory",9,6.66417781727885,8,0.57326004350029,-0.000728365331534566,0.00228561912548852,0.759272305650905,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666561|exploratory",6,9.53834802502266,5,0.0894239651553687,-0.0134396464309267,0.00566197079307698,0.0765145784473971,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666562|exploratory",4,2.42561772320654,3,0.488883707660879,-0.00138536655640903,0.00276853659679005,0.66643162065136,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
"ed_2025_afr|microbiome_2026_hunt|GCST90666563|exploratory",5,5.1418329200622,4,0.273051683274604,0.00150710123930304,0.00560153893083442,0.805333037627828,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","deferred_until_post_FDR","deferred_until_post_FDR","deferred_until_post_FDR"
