"pair_id","dataset","source_id","trait","canonical_trait_id","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","harmonised_snps","pair_harmonisation_status","family","eligible","eligibility_frozen","method","nsnp","beta","se","ci_lower","ci_upper","p","analysis_status","error_message","warning_message","n_reverse","q","fdr_significant"
"reverse|GCST90671776","ed_2025_eur_reverse_exposure","GCST90671776","Gut microbiome order presence (Eubacteriales)","taxon:eubacteriales","primary","GCST90671776","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,1.71968925966685,0.552674188208825,0.636467755592641,2.80291076374106,0.00186089832981135,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670448","ed_2025_eur_reverse_exposure","GCST90670448","Gut microbiome species presence (Sutterella wadsworthensis, GCF_003315195.1)","taxon:sutterella wadsworthensis","primary","GCST90670448","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,1.5433935049465,0.516827333174405,0.530430545698778,2.55635646419421,0.00282389701009678,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670892","ed_2025_eur_reverse_exposure","GCST90670892","Gut microbiome species presence (Scatosoma sp900552625, GCA_905209085.1)","taxon:scatosoma sp900552625","primary","GCST90670892","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,1.59999388982019,0.561943181044316,0.498605493615463,2.70138228602492,0.00440984281138978,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670838","ed_2025_eur_reverse_exposure","GCST90670838","Gut microbiome species presence (Massilicoli timonensis, GCF_900199515.1)","taxon:massilicoli timonensis","primary","GCST90670838","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,-2.09811872687116,0.753282574219985,-3.57452544252395,-0.621712011218364,0.00534780501987283,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670380","ed_2025_eur_reverse_exposure","GCST90670380","Gut microbiome species abundance (Ruminococcus D bicirculans, GCF_000723465.1)","taxon:ruminococcus d bicirculans","primary","GCST90670380","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",17,0.595675293145907,0.216839372002489,0.170677933590747,1.02067265270107,0.00601283043542947,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670416","ed_2025_eur_reverse_exposure","GCST90670416","Gut microbiome species abundance (Eubacterium F sp003491505, GCF_003477605.1)","taxon:eubacterium f sp003491505","primary","GCST90670416","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",17,0.621953282232797,0.233030354537033,0.165222180035613,1.07868438442998,0.00760820518482656,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670996","ed_2025_eur_reverse_exposure","GCST90670996","Gut microbiome species presence (Lachnoclostridium A edouardi, GCF_900240245.1)","taxon:lachnoclostridium a edouardi","primary","GCST90670996","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,1.96978843626643,0.744418609547355,0.510754772132232,3.42882210040063,0.00814314478802112,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90671200","ed_2025_eur_reverse_exposure","GCST90671200","Gut microbiome species presence (Pauljensenia sp916439125, GCA_916439125.1)","taxon:pauljensenia sp916439125","primary","GCST90671200","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",15,1.79472008473117,0.683139602850178,0.455791066731829,3.13364910273052,0.0086099710290924,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670403","ed_2025_eur_reverse_exposure","GCST90670403","Gut microbiome species abundance (Roseburia intestinalis, GCF_900537995.1)","taxon:roseburia intestinalis","primary","GCST90670403","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",17,0.578133294398243,0.221031490097603,0.14491953435772,1.01134705443877,0.00890669066564544,"estimated","","",1572,0.967253667401663,FALSE
"reverse|GCST90670771","ed_2025_eur_reverse_exposure","GCST90670771","Gut microbiome species abundance (Eubacterium G sp000432355, GCF_003479405.1)","taxon:eubacterium g sp000432355","primary","GCST90670771","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE,"mr_ivw_mre",17,0.576058732098269,0.221583951150205,0.141762168291785,1.01035529590475,0.00932967824299303,"estimated","","",1572,0.967253667401663,FALSE
