"pair_id","dataset","source_id","trait","canonical_trait_id","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","harmonised_snps","pair_harmonisation_status","family","eligible","eligibility_frozen"
"reverse|GCST90670368","ed_2025_eur_reverse_exposure","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","alpha:richness","primary","GCST90670368","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670369","ed_2025_eur_reverse_exposure","GCST90670369","Gut microbiome alpha diversity abundance (Shannon diversity)","alpha:shannon","primary","GCST90670369","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670370","ed_2025_eur_reverse_exposure","GCST90670370","Gut microbiome alpha diversity abundance (Inverse Simpson diversity)","alpha:inverse_simpson_diversity","primary","GCST90670370","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670371","ed_2025_eur_reverse_exposure","GCST90670371","Gut microbiome species abundance (Agathobacter rectalis, GCA_000020605.1)","taxon:agathobacter rectalis","primary","GCST90670371","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670372","ed_2025_eur_reverse_exposure","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","taxon:bifidobacterium longum","primary","GCST90670372","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670373","ed_2025_eur_reverse_exposure","GCST90670373","Gut microbiome species abundance (Gemmiger qucibialis, GCA_004000625.1)","taxon:gemmiger qucibialis","primary","GCST90670373","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670374","ed_2025_eur_reverse_exposure","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","taxon:bifidobacterium adolescentis","primary","GCST90670374","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670375","ed_2025_eur_reverse_exposure","GCST90670375","Gut microbiome species abundance (Ruminococcus E bromii B, GCF_002834235.1)","taxon:ruminococcus e bromii b","primary","GCST90670375","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670376","ed_2025_eur_reverse_exposure","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","taxon:agathobacter faecis","primary","GCST90670376","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670377","ed_2025_eur_reverse_exposure","GCST90670377","Gut microbiome species abundance (Anaerostipes hadrus, GCF_000332875.2)","taxon:anaerostipes hadrus","primary","GCST90670377","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670378","ed_2025_eur_reverse_exposure","GCST90670378","Gut microbiome species abundance (Lachnospira eligens A, GCF_009680455.1)","taxon:lachnospira eligens a","primary","GCST90670378","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670379","ed_2025_eur_reverse_exposure","GCST90670379","Gut microbiome species abundance (UBA11524 sp000437595, GCA_000437595.1)","taxon:uba11524 sp000437595","primary","GCST90670379","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670380","ed_2025_eur_reverse_exposure","GCST90670380","Gut microbiome species abundance (Ruminococcus D bicirculans, GCF_000723465.1)","taxon:ruminococcus d bicirculans","primary","GCST90670380","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670381","ed_2025_eur_reverse_exposure","GCST90670381","Gut microbiome species abundance (Fusicatenibacter saccharivorans, GCF_015557635.1)","taxon:fusicatenibacter saccharivorans","primary","GCST90670381","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670382","ed_2025_eur_reverse_exposure","GCST90670382","Gut microbiome species abundance (Acetatifactor sp900066565, GCA_003584705.1)","taxon:acetatifactor sp900066565","primary","GCST90670382","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670383","ed_2025_eur_reverse_exposure","GCST90670383","Gut microbiome species abundance (Blautia A wexlerae, GCA_025148125.1)","taxon:blautia a wexlerae","primary","GCST90670383","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670384","ed_2025_eur_reverse_exposure","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","taxon:coprococcus eutactus a","primary","GCST90670384","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670385","ed_2025_eur_reverse_exposure","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","taxon:bifidobacterium bifidum","primary","GCST90670385","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670386","ed_2025_eur_reverse_exposure","GCST90670386","Gut microbiome species presence (CAG-177 sp003514385, GCA_003514385.1)","taxon:cag-177 sp003514385","primary","GCST90670386","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670387","ed_2025_eur_reverse_exposure","GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)","taxon:ruminiclostridium e siraeum","primary","GCST90670387","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670388","ed_2025_eur_reverse_exposure","GCST90670388","Gut microbiome species abundance (Acetatifactor intestinalis, GCF_009695995.1)","taxon:acetatifactor intestinalis","primary","GCST90670388","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670389","ed_2025_eur_reverse_exposure","GCST90670389","Gut microbiome species abundance (Phocaeicola vulgatus, GCF_000012825.1)","taxon:phocaeicola vulgatus","primary","GCST90670389","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",17,"estimable","reverse",TRUE,TRUE
"reverse|GCST90670390","ed_2025_eur_reverse_exposure","GCST90670390","Gut microbiome species presence (Phascolarctobacterium A succinatutens, GCF_000188175.1)","taxon:phascolarctobacterium a succinatutens","primary","GCST90670390","EUR","reverse_sensitivity","microbiome_trait_units_per_standardized_ED_exposure",15,"estimable","reverse",TRUE,TRUE
