"pair_id","dataset","source_id","trait","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","requested_instrument_rows","harmonised_snps","excluded_snps","pair_harmonisation_status","exposure_role","exposure_outcome_overlap_class","cross_analysis_dependence","method","method_role","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","p_for_fdr","q_230","fdr_significant"
"ed_2025_afr|microbiome_2026|GCST90670749|primary","microbiome_2026","GCST90670749","Gut microbiome species abundance (Lachnoclostridium B sp900066555, GCF_003477705.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.117355675515331,0.0490822565936138,-0.213555130718767,-0.021156220311894,0.0168025528756346,FALSE,,,,31.9380523524956,31.9380523524956,"estimated","","",0.0168025528756346,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671001|primary","microbiome_2026","GCST90671001","Gut microbiome species presence (Marvinbryantia sp900066075, GCA_003435055.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0243878414147875,0.0104221544507639,0.00396079404997646,0.0448148887795986,0.0192837398907167,FALSE,,,,31.0041629672747,31.0041629672747,"estimated","","",0.0192837398907167,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671536|primary","microbiome_2026","GCST90671536","Gut microbiome genus presence (Oxalobacter)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.022721324336815,0.0100715090145457,0.00298152939833503,0.042461119275295,0.0240706311319266,FALSE,,,,32.4489124290225,32.4489124290225,"estimated","","",0.0240706311319266,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671717|primary","microbiome_2026","GCST90671717","Gut microbiome family presence (Burkholderiaceae)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",2,1,1,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0227288955878436,0.0100748650655335,0.00298252291029715,0.0424752682653901,0.0240706311319266,FALSE,,,,32.4272978334996,32.4272978334996,"estimated","","",0.0240706311319266,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671385|primary","microbiome_2026","GCST90671385","Gut microbiome genus presence (Alloscardovia)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",2,1,1,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0292164039715064,0.0130546934635864,0.00362967495366657,0.0548031329893461,0.02522105512641,FALSE,,,,30.9949149408284,30.9949149408284,"estimated","","",0.02522105512641,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671829|primary","microbiome_2026","GCST90671829","Gut microbiome function abundance (Lactose and galactose degradation, MF0007)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0963228426743345,0.0445939086455252,0.00892038779923572,0.183725297549433,0.0307726695678509,FALSE,,,,30.3842950624628,30.3842950624628,"estimated","","",0.0307726695678509,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670838|primary","microbiome_2026","GCST90670838","Gut microbiome species presence (Massilicoli timonensis, GCF_900199515.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,0.0259912075968709,0.0126293525737954,0.00123813140417372,0.050744283789568,0.0395901334003895,FALSE,,,,30.7100694444444,30.7100694444444,"estimated","","",0.0395901334003895,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90670852|primary","microbiome_2026","GCST90670852","Gut microbiome species abundance (Blautia A sp900066505, GCF_013304385.1)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",1,1,0,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_wald_ratio","primary_estimator",1,-0.101363350206739,0.0498100001015916,-0.198989156475795,-0.00373754393768298,0.0418508729804311,FALSE,,,,31.0116151839071,31.0116151839071,"estimated","","",0.0418508729804311,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671524|primary","microbiome_2026","GCST90671524","Gut microbiome genus abundance (Turicibacter)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",5,3,2,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_ivw_mre","primary_estimator",3,-0.0370923871824911,0.0191440052897203,-0.0746139480701871,0.000429173705204872,0.0526786596117268,FALSE,,,,36.9047932321048,30.9756113947864,"estimated","","",0.0526786596117268,1,FALSE
"ed_2025_afr|microbiome_2026|GCST90671723|primary","microbiome_2026","GCST90671723","Gut microbiome family abundance (Turicibacteraceae)","primary","ed_2025_afr","AFR","high_power_outcome_meta_sensitivity","standardized_z_per_sqrt_metal_weight",5,3,2,"estimable","discovery_exposure","none_known","known_outcome_sample_overlap_with_primary_finngen","mr_ivw_mre","primary_estimator",3,-0.0370923871824911,0.0191440052897203,-0.0746139480701871,0.000429173705204872,0.0526786596117268,FALSE,,,,36.9047932321048,30.9756113947864,"estimated","","",0.0526786596117268,1,FALSE
