"pair_id","dataset","source_id","trait","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","method","method_role","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message"
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670368|primary","microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.381746105919003,0.415830218068536,-0.433266145178764,1.19675835701677,0.358601283148712,TRUE,1.46484012367854,0.648387903524734,3.30937171448436,36,36,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670372|primary","microbiome_2026","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.0101649723756906,0.382675414364641,-0.760195002299328,0.739865057547947,0.978808356794603,TRUE,0.989886516347843,0.467575239872463,2.09565270289877,35.2174146734749,35.2174146734749,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670374|primary","microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.137706293706294,0.27631968031968,-0.403870327939901,0.679282915352488,0.618231299473913,TRUE,1.14763843213932,0.667730701670955,1.97246280218554,68.4380165289256,68.4380165289256,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670376|primary","microbiome_2026","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","not_estimable","robust_estimator",0,,,,,,TRUE,,,,,,"not_estimable","No harmonised instruments remained",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670384|primary","microbiome_2026","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.248400740242261,0.225060901749664,-0.689512001999709,0.192710521515187,0.26972132327202,TRUE,0.780047284297016,0.501820896917646,1.21253174085934,30.4032548421629,30.4032548421629,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670385|primary","microbiome_2026","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.12149292256453,0.128807105190119,-0.373950209690026,0.130964364560967,0.345570430935615,TRUE,0.88559732108458,0.688011167265462,1.13992715878342,30.351001599192,30.351001599192,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670387|primary","microbiome_2026","GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.547141235813367,0.390371374527112,-0.21797259885517,1.3122550704819,0.161037239567823,TRUE,1.72830513200273,0.804147475926129,3.71454082581907,31.6306523816709,31.6306523816709,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670392|primary","microbiome_2026","GCST90670392","Gut microbiome species presence (Bifidobacterium pseudocatenulatum, GCF_001025215.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.0760266159695817,0.150266159695818,-0.218489645129365,0.370542877068528,0.612894308543243,TRUE,1.07899129217451,0.803731801940401,1.44852076996047,29.8433639461473,29.8433639461473,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670394|primary","microbiome_2026","GCST90670394","Gut microbiome species abundance (Alistipes putredinis, GCF_000154465.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.163714715719064,0.469055183946488,-0.755616551577863,1.08304598301599,0.727066171405423,TRUE,1.17787823701023,0.469720918259998,2.95366266923283,31.2345182985414,31.2345182985414,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670400|primary","microbiome_2026","GCST90670400","Gut microbiome species abundance (Ruminococcus B gnavus, GCF_008121495.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.0223380487804878,0.457720325203252,-0.874777303609847,0.919453401170823,0.961076424130338,TRUE,1.02258941115119,0.416954863683111,2.5079191895295,41.0400390625,41.0400390625,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670407|primary","microbiome_2026","GCST90670407","Gut microbiome species presence (SFEL01 sp004557245, GCA_004557245.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.174932905067809,0.190551748750892,-0.198541659675065,0.548407469810683,0.358601283148712,TRUE,1.19116629270951,0.819925612194311,1.73049495684135,31.6575700391929,31.6575700391929,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670408|primary","microbiome_2026","GCST90670408","Gut microbiome species presence (Fimenecus sp000432435, GCA_000432435.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.184772529858849,0.170769815418024,-0.14993015800703,0.519475217724729,0.279253595874817,TRUE,1.20294477498579,0.86076809208477,1.68114518297351,32.1227360946746,32.1227360946746,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670409|primary","microbiome_2026","GCST90670409","Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.188988767455981,0.166489678202793,-0.137325005619157,0.515302540531118,0.256317484116628,TRUE,1.20802738318593,0.87168687695641,1.6741449218812,30.3420431538797,30.3420431538797,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670417|primary","microbiome_2026","GCST90670417","Gut microbiome species abundance (Alistipes onderdonkii, GCA_025145285.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.335105815061964,0.398934699714013,-0.446791828560803,1.11700345868473,0.400907448653582,TRUE,1.39808831619748,0.639677056909006,3.0556839873748,30.4820221606648,30.4820221606648,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670426|primary","microbiome_2026","GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.526210314802411,0.381653717347622,-1.27423785536958,0.221817225764758,0.167967603293638,TRUE,0.590839829251594,0.279644016209788,1.24834319203943,44.8239256771703,44.8239256771703,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670427|primary","microbiome_2026","GCST90670427","Gut microbiome species presence (Phascolarctobacterium faecium, GCF_003269275.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.0425935135135135,0.184235810810811,-0.403689067365238,0.318502040338211,0.817167044899937,TRUE,0.958300847251523,0.667851745891601,1.37506642678155,31.1911712353151,31.1911712353151,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670428|primary","microbiome_2026","GCST90670428","Gut microbiome species abundance (Faecousia sp000434635, GCA_000434635.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.143256642903435,0.440952689565781,-0.720994747531567,1.00750803333844,0.745272009024095,TRUE,1.15402593623088,0.486268301101229,2.73876758669556,34.1604826675849,34.1604826675849,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670435|primary","microbiome_2026","GCST90670435","Gut microbiome species abundance (CAG-115 sp003531585, GCA_003531585.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,0.195572580645161,0.450465053763441,-0.687322701025082,1.0784678623154,0.664174396876849,TRUE,1.21600704929547,0.502920737397976,2.94017135102976,36.587745389649,36.587745389649,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670437|primary","microbiome_2026","GCST90670437","Gut microbiome species abundance (Blautia A massiliensis, GCF_001487165.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.950198505869797,0.491971184631804,-1.91444430917964,0.0140472974400427,0.0534322589178885,TRUE,0.386664260710434,0.147423731843211,1.01414642433386,30.7401351493295,30.7401351493295,"estimated","",""
"finngen_r12_erectile_dysfunction|microbiome_2026|GCST90670449|primary","microbiome_2026","GCST90670449","Gut microbiome species abundance (Mediterraneibacter faecis, GCA_001312505.1)","primary","finngen_r12_erectile_dysfunction","Finnish","primary_outcome","log_odds","mr_wald_ratio","primary_estimator",1,-0.296518638573744,0.439388978930308,-1.15770521248098,0.564667935333488,0.499775428260856,TRUE,0.743401771186242,0.314206391106543,1.75886362927433,35.1968380177515,35.1968380177515,"estimated","",""
