"signal_cluster","representative_source_id","representative_trait","cluster_members","member_source_ids","p_for_fdr","nested_taxonomic_cluster","q_unique_signal_cluster","unique_cluster_denominator"
"trait_GCST90670781","GCST90670781","Gut microbiome species presence (Fimisoma avicola, GCA_900542565.1)",1,"GCST90670781",0.00719552323281241,FALSE,0.960539151291193,225
"trait_GCST90670586","GCST90670586","Gut microbiome species presence (UBA644 sp900547165, GCA_900547165.1)",1,"GCST90670586",0.0106172024821376,FALSE,0.960539151291193,225
"exact_d0d0eb33e336","GCST90671709","Gut microbiome family presence (Peptococcaceae)",3,"GCST90671709;GCST90671773;GCST90671803",0.0226398401078971,TRUE,0.960539151291193,225
"trait_GCST90671656","GCST90671656","Gut microbiome family abundance (Bacteroidaceae)",1,"GCST90671656",0.0352480232576871,FALSE,0.960539151291193,225
"trait_GCST90671134","GCST90671134","Gut microbiome species presence (CAG-302 sp934162325, GCA_934162325.1)",1,"GCST90671134",0.0465682005677712,FALSE,0.960539151291193,225
"trait_GCST90670437","GCST90670437","Gut microbiome species abundance (Blautia A massiliensis, GCF_001487165.1)",1,"GCST90670437",0.0534322589178885,FALSE,0.960539151291193,225
"trait_GCST90670813","GCST90670813","Gut microbiome species abundance (Lawsonibacter sp900066645, GCA_902362775.1)",1,"GCST90670813",0.0551351090514849,FALSE,0.960539151291193,225
"trait_GCST90671581","GCST90671581","Gut microbiome genus presence (Catenibacillus)",1,"GCST90671581",0.0553979207768969,FALSE,0.960539151291193,225
"trait_GCST90671469","GCST90671469","Gut microbiome genus presence (UMGS1994)",1,"GCST90671469",0.0600151432424463,FALSE,0.960539151291193,225
"trait_GCST90671359","GCST90671359","Gut microbiome genus abundance (Ventricola)",1,"GCST90671359",0.0631571183220754,FALSE,0.960539151291193,225
"trait_GCST90671860","GCST90671860","Gut microbiome function abundance (Valine degradation I, MF0041)",1,"GCST90671860",0.0632658344750464,FALSE,0.960539151291193,225
"trait_GCST90670529","GCST90670529","Gut microbiome species presence (Butyribacter intestini, GCA_001414325.1)",1,"GCST90670529",0.0661820530797933,FALSE,0.960539151291193,225
"trait_GCST90671669","GCST90671669","Gut microbiome family abundance (Butyricicoccaceae)",1,"GCST90671669",0.0757405421903986,FALSE,0.960539151291193,225
"trait_GCST90671223","GCST90671223","Gut microbiome species presence (Fumia xinanensis, GCF_014384905.1)",1,"GCST90671223",0.081950426152444,FALSE,0.960539151291193,225
