"source_id","trait","phenotype","exposure_scale","nsnp","r2","r2_prevalence_scenario_min","r2_prevalence_scenario_max","r2_F_partial_approximation","min_F","median_F","mean_F","source_reported_prevalence","alpha_label","alpha","mde_or_higher","mde_or_lower","mde_or_higher_scenario_low","mde_or_higher_scenario_high","achieved_power_check"
"GCST90670368","Gut microbiome alpha diversity abundance (Richness)","RIN_standardized_diversity","one source-defined RIN-standardized unit",1,0.0020566468395,0.0020566468395,0.0020566468395,0.00224285091271572,36,36,36,,"nominal_0.05",0.05,2.16532013174417,0.461825475752861,2.16532013174417,2.16532013174417,0.799999999966442
"GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0021747046386912,0.0021747046386912,0.0021747046386912,0.00219420172098593,35.2174146734749,35.2174146734749,35.2174146734749,0.9,"nominal_0.05",0.05,2.13330434057652,0.46875637056537,2.13330434057652,2.13330434057652,0.799999999998678
"GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.00403123038318,0.00403123038318,0.00403123038318,0.00425518576678643,68.4380165289256,68.4380165289256,68.4380165289256,0.9,"nominal_0.05",0.05,1.83225056666012,0.54577688128258,1.83225056666012,1.83225056666012,0.8
"GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.001544898695869,0.00150421505983871,0.00158541894459646,0.00189482647206064,30.4032548421629,30.4032548421629,30.4032548421629,0.56,"nominal_0.05",0.05,2.34385032226408,0.426648404337541,2.36180095917501,2.3266554599434,0.799999999989878
"GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.002151253865265,0.00208834962870107,0.00221389353335508,0.00189157604568245,30.351001599192,30.351001599192,30.351001599192,0.25,"nominal_0.05",0.05,2.13945493518163,0.467408770129157,2.15645848247935,2.12324356730069,0.8
"GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0020977919683968,0.0020977919683968,0.0020977919683968,0.0019711709621095,31.6306523816709,31.6306523816709,31.6306523816709,0.81,"nominal_0.05",0.05,2.15385776919672,0.464283210480027,2.15385776919672,2.15385776919672,0.800000000000001
"GCST90670392","Gut microbiome species presence (Bifidobacterium pseudocatenulatum, GCF_001025215.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.00207936361147766,0.00206219161623933,0.00209623918459264,0.00185999721338554,29.8433639461473,29.8433639461473,29.8433639461473,0.24,"nominal_0.05",0.05,2.15894982972432,0.463188160388003,2.1637556118969,2.15428425477772,0.8
"GCST90670394","Gut microbiome species abundance (Alistipes putredinis, GCF_000154465.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0016860573727712,0.0016860573727712,0.0016860573727712,0.00194653258139302,31.2345182985414,31.2345182985414,31.2345182985414,0.94,"nominal_0.05",0.05,2.28663622513338,0.437323606181245,2.28663622513338,2.28663622513338,0.79999999998984
"GCST90670400","Gut microbiome species abundance (Ruminococcus B gnavus, GCF_008121495.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.00185037080238,0.00185037080238,0.00185037080238,0.00255604987049449,41.0400390625,41.0400390625,41.0400390625,0.62,"nominal_0.05",0.05,2.22839106654609,0.448754267153816,2.22839106654609,2.22839106654609,0.8
"GCST90670407","Gut microbiome species presence (SFEL01 sp004557245, GCA_004557245.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.00148634361742371,0.00148534033566771,0.00148720179088112,0.00197284511749668,31.6575700391929,31.6575700391929,31.6575700391929,0.57,"nominal_0.05",0.05,2.36991557347428,0.421955959609991,2.37037540392882,2.36952261489048,0.799999999983918
"GCST90670408","Gut microbiome species presence (Fimenecus sp000432435, GCA_000432435.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.00197096136610037,0.00195330905325518,0.00198835762045379,0.0020017754349458,32.1227360946746,32.1227360946746,32.1227360946746,0.49,"nominal_0.05",0.05,2.1903241991406,0.456553418161733,2.19567717035295,2.18511824222455,0.799999999974662
"GCST90670409","Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.00205745963320762,0.00200335340223694,0.00211132339837424,0.0018910187811687,30.3420431538797,30.3420431538797,30.3420431538797,0.23,"nominal_0.05",0.05,2.16509040030472,0.461874478709646,2.18068476470994,2.15016104533937,0.799999999965041
"GCST90670417","Gut microbiome species abundance (Alistipes onderdonkii, GCA_025145285.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0020452986126048,0.0020452986126048,0.0020452986126048,0.00189972617329698,30.4820221606648,30.4820221606648,30.4820221606648,0.91,"nominal_0.05",0.05,2.16854183035869,0.461139363788336,2.16854183035869,2.16854183035869,0.8
"GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0026082655153152,0.0026082655153152,0.0026082655153152,0.00279105959595882,44.8239256771703,44.8239256771703,44.8239256771703,0.98,"nominal_0.05",0.05,2.03490790988834,0.491422729815264,2.03490790988834,2.03490790988834,0.799999999998382
"GCST90670427","Gut microbiome species presence (Phascolarctobacterium faecium, GCF_003269275.1)","presence","one SD on an approximate microbial-presence liability scale",1,0.00160310112978261,0.00159858001461063,0.00160745433269575,0.00194383644707093,31.1911712353151,31.1911712353151,31.1911712353151,0.39,"nominal_0.05",0.05,2.31935492156633,0.431154365682278,2.32121016982147,2.31757589985696,0.8
"GCST90670428","Gut microbiome species abundance (Faecousia sp000434635, GCA_000434635.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.001674582048395,0.001674582048395,0.001674582048395,0.00212849031601851,34.1604826675849,34.1604826675849,34.1604826675849,0.65,"nominal_0.05",0.05,2.29101830732546,0.436487127493714,2.29101830732546,2.29101830732546,0.799999999977622
"GCST90670435","Gut microbiome species abundance (CAG-115 sp003531585, GCA_003531585.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0016775413304832,0.0016775413304832,0.0016775413304832,0.00227938481663023,36.587745389649,36.587745389649,36.587745389649,0.62,"nominal_0.05",0.05,2.28988398727277,0.436703346352052,2.28988398727277,2.28988398727277,0.8
"GCST90670437","Gut microbiome species abundance (Blautia A massiliensis, GCF_001487165.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0018967951321088,0.0018967951321088,0.0018967951321088,0.00191578168974525,30.7401351493295,30.7401351493295,30.7401351493295,0.94,"nominal_0.05",0.05,2.21331046824931,0.451811896408271,2.21331046824931,2.21331046824931,0.8
"GCST90670449","Gut microbiome species abundance (Mediterraneibacter faecis, GCA_001312505.1)","RIN_standardized_abundance","one source-defined RIN-standardized unit",1,0.0018975183575102,0.0018975183575102,0.0018975183575102,0.00219292251509224,35.1968380177515,35.1968380177515,35.1968380177515,0.91,"nominal_0.05",0.05,2.21307988538282,0.451858971113018,2.21307988538282,2.21307988538282,0.8
