"pair_id","dataset","source_id","trait","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","method","method_role","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","p_for_fdr","q","fdr_significant","family_denominator"
"source_study_wide|GCST90671669","microbiome_2026","GCST90671669","Gut microbiome family abundance (Butyricicoccaceae)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.396488802336904,0.277629016553067,-0.94063167584419,0.147654071170382,0.153256024848082,TRUE,0.672677809078541,0.39038116310751,1.15911185679338,83.336612345679,83.336612345679,"estimated","","",0.153256024848082,1,FALSE,27
"source_study_wide|GCST90670426","microbiome_2026","GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.526210314802411,0.381653717347622,-1.27423785536958,0.221817225764758,0.167967603293638,TRUE,0.590839829251594,0.279644016209788,1.24834319203943,44.8239256771703,44.8239256771703,"estimated","","",0.167967603293638,1,FALSE,27
"source_study_wide|GCST90670368","microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.381746105919003,0.415830218068536,-0.433266145178764,1.19675835701677,0.358601283148712,TRUE,1.46484012367854,0.648387903524734,3.30937171448436,36,36,"estimated","","",0.358601283148712,1,FALSE,27
"source_study_wide|GCST90670910","microbiome_2026","GCST90670910","Gut microbiome species abundance (Turicibacter sanguinis, GCF_013046825.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.32773544973545,0.382847883597884,-0.422632613673785,1.07810351314468,0.391972263118132,TRUE,1.38782177510275,0.655319344258492,2.93910029716688,49.9201677002358,49.9201677002358,"estimated","","",0.391972263118132,1,FALSE,27
"source_study_wide|GCST90670494","microbiome_2026","GCST90670494","Gut microbiome species presence (Clostridium sp900540255, GCA_900540255.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_ivw_mre","primary_estimator",2,-0.0687112492543212,0.112858544972281,-0.289909932747587,0.152487434238944,0.542639585607798,TRUE,0.933596217765768,0.748330964657267,1.1647278263111,64.4530799639439,52.3086559278877,"estimated","","",0.542639585607798,1,FALSE,27
"source_study_wide|GCST90670550","microbiome_2026","GCST90670550","Gut microbiome species presence (Negativibacillus sp000435195, GCA_000435195.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0614690382081686,0.121493192797541,-0.299591320458129,0.176653244041792,0.612894308543243,TRUE,0.940382061202314,0.741121039806532,1.19321726618632,53.261926775148,53.261926775148,"estimated","","",0.612894308543243,1,FALSE,27
"source_study_wide|GCST90671012","microbiome_2026","GCST90671012","Gut microbiome species abundance (Phocea massiliensis, GCF_900104615.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.175614805520703,0.347101631116688,-0.855921501484518,0.504691890443112,0.612894308543243,TRUE,0.838941076577366,0.424891472502697,1.65647506602836,45.6197213444413,45.6197213444413,"estimated","","",0.612894308543243,1,FALSE,27
"source_study_wide|GCST90671563","microbiome_2026","GCST90671563","Gut microbiome genus abundance (Phocea)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.175614805520703,0.347101631116688,-0.855921501484518,0.504691890443112,0.612894308543243,TRUE,0.838941076577366,0.424891472502697,1.65647506602836,45.6197213444413,45.6197213444413,"estimated","","",0.612894308543243,1,FALSE,27
"source_study_wide|GCST90670374","microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.137706293706294,0.27631968031968,-0.403870327939901,0.679282915352488,0.618231299473913,TRUE,1.14763843213932,0.667730701670955,1.97246280218554,68.4380165289256,68.4380165289256,"estimated","","",0.618231299473913,1,FALSE,27
"source_study_wide|GCST90671293","microbiome_2026","GCST90671293","Gut microbiome genus abundance (Bifidobacterium)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.107606557377049,0.21592193598751,-0.315592660630633,0.530805775384731,0.618231299473913,TRUE,1.1136095177338,0.729356485277226,1.70030181813759,105.021504,105.021504,"estimated","","",0.618231299473913,1,FALSE,27
