"pair_id","nsnp","ivw_Q","ivw_Q_df","ivw_Q_p","egger_intercept","egger_intercept_se","egger_intercept_p","steiger_status","steiger_reason","presso_status","loo_status","singlesnp_status"
"source_study_wide|GCST90670368",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670374",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670426",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670473",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670494",2,1.4121429388645,1,0.234700978735335,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","deferred_until_post_FDR"
"source_study_wide|GCST90670524",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"source_study_wide|GCST90670550",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670591",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670630",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"source_study_wide|GCST90670684",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670756",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670769",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90670910",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671012",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671130",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"source_study_wide|GCST90671293",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671463",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671524",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671563",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671601",0,,,,,,,"not_estimable","No harmonised instruments remained","not_estimable","not_estimable","not_estimable"
"source_study_wide|GCST90671653",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671669",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671723",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671741",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671781",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671789",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
"source_study_wide|GCST90671808",1,,,,,,,"not_computed","Binary-outcome population prevalence has not been prespecified; unavailable Steiger is not treated as support","not_estimable_fewer_than_4_snps","not_estimable_fewer_than_3_snps","primary_wald_estimate"
