key,location
title_abstract,"p. 1, lines 2–22"
background,"pp. 1–2, lines 23–35"
objectives,"p. 2, lines 36–41"
design_sources,"pp. 2–3, lines 42–57; Table 1"
participants,"pp. 2–3, lines 43–57; Table 1"
variants,"p. 3, lines 58–69"
variables,"pp. 2–3, lines 43–66; Table 1"
assumptions,"pp. 3–5, lines 58–111; pp. 8–10, lines 167–215"
statistics,"p. 4, lines 70–81"
harmonization,"p. 3, lines 58–66"
sensitivities,"pp. 3–5, lines 67–111"
descriptive,"p. 6, lines 119–131; Table 1"
main_results,"pp. 6–7, lines 119–165; Figures 2–3; Table 2"
additional,"pp. 6–7, lines 132–165; Supplementary Tables S4–S9"
key_results,"p. 8, lines 167–178"
limitations,"pp. 8–10, lines 179–215"
interpretation,"p. 8, lines 167–181; p. 10, lines 205–215"
generalisability,"pp. 9–10, lines 185–215"
funding,"p. 11, lines 239–243"
transparency,"p. 5, lines 112–117; p. 10, lines 216–224; Supplementary Table S10"
