source_id,nsnp,F_metric,F_value
GCST90670368,1,Minimum F,36
GCST90670372,1,Minimum F,35.2174146734749
GCST90670374,1,Minimum F,68.4380165289256
GCST90670384,1,Minimum F,30.4032548421629
GCST90670385,1,Minimum F,30.351001599192
GCST90670387,1,Minimum F,31.6306523816709
GCST90670392,1,Minimum F,29.8433639461473
GCST90670394,1,Minimum F,31.2345182985414
GCST90670400,1,Minimum F,41.0400390625
GCST90670407,1,Minimum F,31.6575700391929
GCST90670408,1,Minimum F,32.1227360946746
GCST90670409,1,Minimum F,30.3420431538797
GCST90670417,1,Minimum F,30.4820221606648
GCST90670426,1,Minimum F,44.8239256771703
GCST90670427,1,Minimum F,31.1911712353151
GCST90670428,1,Minimum F,34.1604826675849
GCST90670435,1,Minimum F,36.587745389649
GCST90670437,1,Minimum F,30.7401351493295
GCST90670449,1,Minimum F,35.1968380177515
GCST90670457,1,Minimum F,30.2301476625526
GCST90670460,1,Minimum F,34.193341990523
GCST90670466,1,Minimum F,39.0625
GCST90670468,1,Minimum F,30.8007154599311
GCST90670473,1,Minimum F,45.7537379850481
GCST90670478,2,Minimum F,30.2021928166352
GCST90670492,1,Minimum F,32.1746345597062
GCST90670494,3,Minimum F,31.5439727331262
GCST90670495,1,Minimum F,30.4155565640299
GCST90670498,1,Minimum F,32.6530612244898
GCST90670515,1,Minimum F,32.547025
GCST90670517,1,Minimum F,34.258325697626
GCST90670524,1,Minimum F,39.3032544378698
GCST90670529,1,Minimum F,32.3585946745562
GCST90670534,1,Minimum F,30.6323889814724
GCST90670546,1,Minimum F,30.855994966943
GCST90670550,1,Minimum F,53.261926775148
GCST90670551,1,Minimum F,37.3250431906579
GCST90670554,1,Minimum F,30.1763183807833
GCST90670555,1,Minimum F,40.1394531777848
GCST90670562,1,Minimum F,30.116502751332
GCST90670564,1,Minimum F,32.3783314109958
GCST90670572,1,Minimum F,32.1111111111111
GCST90670586,1,Minimum F,34.3884735834673
GCST90670588,1,Minimum F,34.8923742563548
GCST90670591,1,Minimum F,43.833531510107
GCST90670634,1,Minimum F,34.660148513576
GCST90670635,1,Minimum F,37.1783184348119
GCST90670644,1,Minimum F,31.1028302921137
GCST90670680,1,Minimum F,40.1268086400133
GCST90670684,4,Minimum F,29.8844444444444
GCST90670687,1,Minimum F,33.6966091612136
GCST90670698,1,Minimum F,30.6426517415029
GCST90670700,1,Minimum F,36.8014596751134
GCST90670711,1,Minimum F,31.6537688881125
GCST90670746,1,Minimum F,31.1657918069188
GCST90670748,1,Minimum F,33.0214413265306
GCST90670749,1,Minimum F,31.9380523524956
GCST90670756,4,Minimum F,31.1264067721096
GCST90670761,1,Minimum F,32.508389698231
GCST90670769,1,Minimum F,71.0586556927298
GCST90670774,1,Minimum F,36.9762269156208
GCST90670780,1,Minimum F,35.1628193290243
GCST90670781,1,Minimum F,34.6610388238135
GCST90670784,1,Minimum F,30.5542934276762
GCST90670786,1,Minimum F,34.8500637402941
GCST90670792,1,Minimum F,30.4982550117685
GCST90670796,1,Minimum F,30.2189345334993
GCST90670806,1,Minimum F,33.4002108561204
GCST90670813,1,Minimum F,32.3012297669251
GCST90670815,1,Minimum F,34.2162099664701
GCST90670827,1,Minimum F,33.3297906259964
GCST90670835,1,Minimum F,30.7151444404192
GCST90670838,1,Minimum F,30.7100694444444
GCST90670852,1,Minimum F,31.0116151839071
GCST90670875,1,Minimum F,30.3999909158352
GCST90670881,1,Minimum F,37.1637752977076
GCST90670884,1,Minimum F,35.8788899091929
GCST90670890,1,Minimum F,30.1891450279816
GCST90670899,1,Minimum F,31.190410405453
GCST90670908,1,Minimum F,30.5361406113433
GCST90670910,2,Minimum F,33.4329452888487
GCST90670917,1,Minimum F,31.8043537047053
GCST90670925,1,Minimum F,30.6704988662132
GCST90670927,1,Minimum F,33.9445653484255
GCST90670937,1,Minimum F,33.9624496857567
GCST90670943,1,Minimum F,42.453369140625
GCST90670986,1,Minimum F,39.1061168199026
GCST90670988,1,Minimum F,30.2086607496184
GCST90670990,1,Minimum F,30.7232653061224
