key,location
title_abstract,"pp. 1–2, lines 2–41"
background,"pp. 2–3, lines 43–55"
objectives,"p. 3, lines 56–59"
design_sources,"pp. 3–4, lines 61–82; Table 1"
participants,"pp. 3–4, lines 61–82; Table 1"
variants,"pp. 4–5, lines 83–100"
variables,"pp. 3–5, lines 61–100; Table 1"
assumptions,"pp. 5–7, lines 101–154; pp. 11–13, lines 229–283"
statistics,"p. 5, lines 101–115"
harmonization,"pp. 4–5, lines 83–100"
sensitivities,"pp. 5–7, lines 101–154"
descriptive,"p. 8, lines 162–175; Table 1"
main_results,"pp. 8–10, lines 162–228; Figures 2–3; Table 2"
additional,"pp. 8–10, lines 176–228; Supplementary Tables S4–S15 and R1–R10"
key_results,"p. 11, lines 229–235"
limitations,"pp. 11–13, lines 241–280"
interpretation,"pp. 11–13, lines 229–240 and 248–283"
generalisability,"pp. 12–13, lines 248–283"
funding,"p. 14, lines 307–312"
transparency,"p. 7, lines 155–160; p. 13, lines 284–289; Supplementary Tables S10–S15 and R1–R10"
