"dataset","source_id","trait","canonical_trait_id","sample_size","genome_build","ancestry_description","data_file_name","metadata_path","data_path","manifest_sha256","schema_sha256"
"microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","alpha:richness",16017,"GRCh37","European","GCST90670368.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670369","Gut microbiome alpha diversity abundance (Shannon diversity)","alpha:shannon",16017,"GRCh37","European","GCST90670369.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670369/GCST90670369.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670369/GCST90670369.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670370","Gut microbiome alpha diversity abundance (Inverse Simpson diversity)","alpha:inverse_simpson_diversity",16017,"GRCh37","European","GCST90670370.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670370/GCST90670370.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670370/GCST90670370.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670371","Gut microbiome species abundance (Agathobacter rectalis, GCA_000020605.1)","taxon:agathobacter rectalis",16017,"GRCh37","European","GCST90670371.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670371/GCST90670371.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670371/GCST90670371.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","taxon:bifidobacterium longum",16017,"GRCh37","European","GCST90670372.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670372/GCST90670372.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670372/GCST90670372.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670373","Gut microbiome species abundance (Gemmiger qucibialis, GCA_004000625.1)","taxon:gemmiger qucibialis",16017,"GRCh37","European","GCST90670373.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670373/GCST90670373.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670373/GCST90670373.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","taxon:bifidobacterium adolescentis",16017,"GRCh37","European","GCST90670374.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670374/GCST90670374.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670374/GCST90670374.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670375","Gut microbiome species abundance (Ruminococcus E bromii B, GCF_002834235.1)","taxon:ruminococcus e bromii b",16017,"GRCh37","European","GCST90670375.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670375/GCST90670375.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670375/GCST90670375.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","taxon:agathobacter faecis",16017,"GRCh37","European","GCST90670376.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670376/GCST90670376.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670376/GCST90670376.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
"microbiome_2026","GCST90670377","Gut microbiome species abundance (Anaerostipes hadrus, GCF_000332875.2)","taxon:anaerostipes hadrus",16017,"GRCh37","European","GCST90670377.tsv.gz","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670377/GCST90670377.tsv.gz-meta.yaml","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670377/GCST90670377.tsv.gz","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237"
