"outcome_id","dataset","tier","build_exposure","requested_instrument_rows","harmonised_rows","outcome_rsid_missing","allele_mismatch","chromosome_mismatch","palindromic_excluded","multiallelic_multiple_matches","coverage","output_path","output_sha256","palindromic_maf_max","eaf_tolerance","audit_path","audit_sha256","completed_at_utc"
"ed_2025_afr","microbiome_2026","exploratory","GRCh37",24867,11213,11710,0,0,1944,0,0.45091888848675,"03_data/processed/harmonised/ed_2025_afr.parquet","46637b932478c408c5d2d31f6615981ec2e5c3d32c00ddc46bd8f755732d7340",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_afr","microbiome_2026","primary","GRCh37",272,119,136,0,0,17,0,0.4375,"03_data/processed/harmonised/ed_2025_afr.parquet","46637b932478c408c5d2d31f6615981ec2e5c3d32c00ddc46bd8f755732d7340",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_afr","microbiome_2026_hunt","exploratory","GRCh37",17999,5805,11252,0,0,942,0,0.322517917662092,"03_data/processed/harmonised/ed_2025_afr.parquet","46637b932478c408c5d2d31f6615981ec2e5c3d32c00ddc46bd8f755732d7340",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_afr","microbiome_2026_hunt","primary","GRCh37",157,48,101,0,0,8,0,0.305732484076433,"03_data/processed/harmonised/ed_2025_afr.parquet","46637b932478c408c5d2d31f6615981ec2e5c3d32c00ddc46bd8f755732d7340",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_cross_ancestry","microbiome_2026","exploratory","GRCh37",24867,17202,4711,2,0,2952,0,0.691760164072868,"03_data/processed/harmonised/ed_2025_cross_ancestry.parquet","0feb09f16c298039c57c31b5d2ee194e47cec4ff3fdf1f96c1007ac0fa33a448",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_cross_ancestry","microbiome_2026","primary","GRCh37",272,192,57,0,0,23,0,0.705882352941177,"03_data/processed/harmonised/ed_2025_cross_ancestry.parquet","0feb09f16c298039c57c31b5d2ee194e47cec4ff3fdf1f96c1007ac0fa33a448",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_cross_ancestry","microbiome_2026_hunt","exploratory","GRCh37",17999,12835,3078,0,0,2086,0,0.713095171953997,"03_data/processed/harmonised/ed_2025_cross_ancestry.parquet","0feb09f16c298039c57c31b5d2ee194e47cec4ff3fdf1f96c1007ac0fa33a448",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_cross_ancestry","microbiome_2026_hunt","primary","GRCh37",157,107,40,0,0,10,0,0.681528662420382,"03_data/processed/harmonised/ed_2025_cross_ancestry.parquet","0feb09f16c298039c57c31b5d2ee194e47cec4ff3fdf1f96c1007ac0fa33a448",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_eur","microbiome_2026","exploratory","GRCh37",24867,16405,5652,2,0,2808,0,0.65970965536655,"03_data/processed/harmonised/ed_2025_eur.parquet","1433a90168e636bc54250a325c05c338d8d2b7f05728924c083494ef932f12de",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
"ed_2025_eur","microbiome_2026","primary","GRCh37",272,185,65,0,0,22,0,0.680147058823529,"03_data/processed/harmonised/ed_2025_eur.parquet","1433a90168e636bc54250a325c05c338d8d2b7f05728924c083494ef932f12de",0.42,0.1,"03_data/processed/harmonised/harmonisation_audit.parquet","25d4a02a64a57d55dcc20e717efd44b2fb193e996946cb0b7dc7da9ea3eea45d","2026-07-19T23:43:12Z"
