"mediator_id","source_id","raw_path","raw_sha256","requested_rows","matched_rows","missing_rows","cis_lead_verified","output_path","output_sha256","completed_at_utc"
"cytokine_CTACK","GCST90428399","03_data/raw/cytokines_2025_meta/GCST90428399/GCST90428399.h.tsv.gz","fcb8862de4171880fad61d796a0a179ce57928eb22e3cdbc36df47342f1eb391",5,4,1,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428399.parquet","b0486b613bb8462203d6ed0a765995d33c7525d9c8b537c62c9dedd05b65ca03","2026-07-21T10:19:25Z"
"cytokine_beta_NGF","GCST90428400","03_data/raw/cytokines_2025_meta/GCST90428400/GCST90428400.h.tsv.gz","8ef2eda1d672a42a80890fd2d11031c120999ad63cd8c4e2f634cfde9b87b1cc",5,5,0,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428400.parquet","550aa0f3b60ef2c070f025108d9b591400898aa2882b10462c84a20507634614","2026-07-21T10:19:42Z"
"cytokine_CCL11","GCST90428401","03_data/raw/cytokines_2025_meta/GCST90428401/GCST90428401.h.tsv.gz","8f3b7022143dd5ca7764c0f795259f346c5a6f0289abdff052358323618398b5",6,5,1,"yes","03_data/processed/mechanistic/cytokine_targets/GCST90428401.parquet","e41aad4770a1eb41f8559d8d3d9a057aceac923832447c1a9f4969f0e93679de","2026-07-21T10:19:54Z"
"cytokine_FGF2","GCST90428402","03_data/raw/cytokines_2025_meta/GCST90428402/GCST90428402.h.tsv.gz","060029a7852ef021cfd74590ebde33d03242ebcf0a87b71f5efcf24e673f5d28",6,5,1,"yes","03_data/processed/mechanistic/cytokine_targets/GCST90428402.parquet","ff77ab4bddc572d325dcaa420bd918b9ca4c6947a67fb394622d2910d5ff097c","2026-07-21T10:20:06Z"
"cytokine_CSF3","GCST90428403","03_data/raw/cytokines_2025_meta/GCST90428403/GCST90428403.h.tsv.gz","9d7699c1f155c7f4481e25d20fc6ad070713e731a000986b66339b0bf8f97d56",5,4,1,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428403.parquet","c4560d921973146362d2cba77db59d1fe393105dc230cc3bd3035a7d4de18148","2026-07-21T10:20:20Z"
"cytokine_CXCL1","GCST90428404","03_data/raw/cytokines_2025_meta/GCST90428404/GCST90428404.h.tsv.gz","8989849735e63cb73857cda6c1edabfa41784120880d5804cc29cc8b2d9b7e6c",6,6,0,"yes","03_data/processed/mechanistic/cytokine_targets/GCST90428404.parquet","80ba94bc27d8dcfe27b363cfd510e19ddf63cd949b9a3edcce0fdced51c4a3c5","2026-07-21T10:20:37Z"
"cytokine_HGF","GCST90428405","03_data/raw/cytokines_2025_meta/GCST90428405/GCST90428405.h.tsv.gz","791759e9f99cb36a0e31904c73724bcb38cb65198f9435f3d9cc586d0141a6fe",6,6,0,"yes","03_data/processed/mechanistic/cytokine_targets/GCST90428405.parquet","836d8eb395b031fa4ae31fd376c6bd5bbf03190b80da99b5f178c0dc7c6040b9","2026-07-21T10:20:54Z"
"cytokine_IFNG","GCST90428406","03_data/raw/cytokines_2025_meta/GCST90428406/GCST90428406.h.tsv.gz","4e8458f896a3bbb075be203038ba104ed4df989be7719962ff19072857bdc5ee",5,4,1,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428406.parquet","2b873f42a50a2319c28c2b4db51b2ae0a079ce0008bdad41cc1563f2368ca7d6","2026-07-21T10:21:06Z"
"cytokine_IL10","GCST90428407","03_data/raw/cytokines_2025_meta/GCST90428407/GCST90428407.h.tsv.gz","e4dca1bf727a08d698c2058684edac441e9dda25891d34d5cac64ba988edc2ee",5,4,1,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428407.parquet","30d41e1a545d35941becfde1360eecc77c3f6733d9be43b64485fa1190ea5bd9","2026-07-21T10:21:19Z"
"cytokine_IL13","GCST90428408","03_data/raw/cytokines_2025_meta/GCST90428408/GCST90428408.h.tsv.gz","3746282c264072401651c04cf190ad7290605418399f9f5f422e64659bc32adf",5,4,1,"not_applicable","03_data/processed/mechanistic/cytokine_targets/GCST90428408.parquet","ce95d0a5b7bb0e02dfbea9ab9d25275a5066e17b8aab06b7490d3006af1d6224","2026-07-21T10:21:31Z"
