"source_dataset","source_id","registry_name","remote_trait","sample_size","genome_build","remote_data_url","remote_metadata_url","http_status"
"cytokines_2025_meta","GCST90428399","CTACK","CTACK levels",39190,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428399/harmonised/GCST90428399.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428399/harmonised/GCST90428399.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428400","beta-nerve growth factor","Beta-nerve growth factor levels",70021,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428400/harmonised/GCST90428400.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428400/harmonised/GCST90428400.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428401","CCL11","CCL11 levels",43712,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428401/harmonised/GCST90428401.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428401/harmonised/GCST90428401.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428402","Fibroblast growth factor 2","Fibroblast growth factor 2 levels",43124,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428402/harmonised/GCST90428402.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428402/harmonised/GCST90428402.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428403","CSF3","CSF3 protein levels",43463,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428403/harmonised/GCST90428403.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428403/harmonised/GCST90428403.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428404","CXCL1","CXCL1 levels",69995,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428404/harmonised/GCST90428404.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428404/harmonised/GCST90428404.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428405","Hepatocyte growth factor","Hepatocyte growth factor levels",74782,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428405/harmonised/GCST90428405.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428405/harmonised/GCST90428405.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428406","Interferon gamma","Interferon gamma levels",43260,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428406/harmonised/GCST90428406.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428406/harmonised/GCST90428406.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428407","Interleukin-10","Interleukin-10 levels",43240,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428407/harmonised/GCST90428407.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428407/harmonised/GCST90428407.h.tsv.gz-meta.yaml",200
"cytokines_2025_meta","GCST90428408","Interleukin-13","Interleukin-13 levels",39116,"GRCh38","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428408/harmonised/GCST90428408.h.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428408/harmonised/GCST90428408.h.tsv.gz-meta.yaml",200
