"dataset","source_id","trait","canonical_trait_id","input_path","input_bytes","matched_rows","unique_rsids","output_path","output_sha256","instrument_ids_sha256","manifest_sha256","schema_sha256","extractor_sha256","completed_at_utc"
"microbiome_2026","GCST90670368","Gut microbiome alpha diversity abundance (Richness)","alpha:richness","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz",127842396,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670368.parquet","a03a6d55ea391ef62fcaee83ffaf4e00c628645f4944bdfb99ee4afb3abc98c7","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:20:48"
"microbiome_2026","GCST90670369","Gut microbiome alpha diversity abundance (Shannon diversity)","alpha:shannon","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670369/GCST90670369.tsv.gz",127803168,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670369.parquet","0c11f628ea5817e889940bda14e311fdf69c3658d9cb3c0415e9559301f0301d","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:21:06"
"microbiome_2026","GCST90670370","Gut microbiome alpha diversity abundance (Inverse Simpson diversity)","alpha:inverse_simpson_diversity","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670370/GCST90670370.tsv.gz",127805009,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670370.parquet","5cac12447ee9850a7da4770d31f48d0381e2e22f61ff089c7f2767c410b973d7","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:21:24"
"microbiome_2026","GCST90670371","Gut microbiome species abundance (Agathobacter rectalis, GCA_000020605.1)","taxon:agathobacter rectalis","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670371/GCST90670371.tsv.gz",127811047,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670371.parquet","9f26b2306d6ae893eea4265b0f31be2fd2b268ebf4c20854e6c6ccae548e14eb","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:21:47"
"microbiome_2026","GCST90670372","Gut microbiome species abundance (Bifidobacterium longum, GCF_000196555.1)","taxon:bifidobacterium longum","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670372/GCST90670372.tsv.gz",127734985,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670372.parquet","2a22f61f32e423ef2012ad055f3eb58a5ac196d03da87e0149d3f7c2895175f8","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:22:05"
"microbiome_2026","GCST90670373","Gut microbiome species abundance (Gemmiger qucibialis, GCA_004000625.1)","taxon:gemmiger qucibialis","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670373/GCST90670373.tsv.gz",127780237,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670373.parquet","e35ab09717ba4d101fe405b5f6e4f5a6529d642da53e7a6d9bf96eec2a4d583d","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:22:27"
"microbiome_2026","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)","taxon:bifidobacterium adolescentis","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670374/GCST90670374.tsv.gz",127706865,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670374.parquet","2b3da5d448ab47356c12259fcf9162ed9901f5c5c3b52371b60011a5304f8afc","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:22:47"
"microbiome_2026","GCST90670375","Gut microbiome species abundance (Ruminococcus E bromii B, GCF_002834235.1)","taxon:ruminococcus e bromii b","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670375/GCST90670375.tsv.gz",127489496,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670375.parquet","ff257377fea11ddb201108f2ed9080c727c9f5ad0b4a86e5844839d7e15b955f","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:23:04"
"microbiome_2026","GCST90670376","Gut microbiome species abundance (Agathobacter faecis, GCF_001406815.1)","taxon:agathobacter faecis","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670376/GCST90670376.tsv.gz",127731626,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670376.parquet","1c3bdc7fa2560fa59a5f43794d752d3b58b6b974fb96be4d4d328b626ddd68a2","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:23:24"
"microbiome_2026","GCST90670377","Gut microbiome species abundance (Anaerostipes hadrus, GCF_000332875.2)","taxon:anaerostipes hadrus","/Volumes/DuXC_PhD_OS/04_PAPERS_论文发表/04_GUT_ED_MR_REBUILD_20260710/03_data/raw/microbiome_2026/GCST90670377/GCST90670377.tsv.gz",127787098,18,18,"03_data/processed/reverse/microbiome_outcomes/GCST90670377.parquet","eeb178c98b1d64e30414fac6c25c24125c7c169948ec05f878cf2ccb53463aac","9f283693bcc37020530386f7094e41b4306d1b2fd5777c4c58158cdc57b540e5","2648a90d7032c268b812fc96620d034c842a39c747a3687866fe4988b52a1e3f","e2bb6beb199bfc576ecf2adc98bc83f014b729be832c4a4f7f2d2e09df552237","88a12ecef982a046c12cee5800de4150e40f77a308f4af7540d6f9148bc9eda0","2026-07-20 00:23:43"
