"dataset","source_id","file_name","path","source_url","license","bytes","sha256","frozen_at_utc"
"ld_reference_1kg","4cad6cfd-2e69-43ca-ba1c-a66f73d3b219","1000G_EUR.fam","03_data/raw/ld_reference_1kg/4cad6cfd-2e69-43ca-ba1c-a66f73d3b219/1000G_EUR.fam","https://zenodo.org/api/records/6614170/files/1000G_EUR.fam/content","1000 Genomes open data terms; Zenodo record metadata retained",9557,"ccc5f19953f0f7debd096aaaf26aef11e49c8fad803abdfcd44f955ac9c5edc8","2026-07-11T08:08:50Z"
"ed_2025","59218637","ed_eur_meta_ac.gz","03_data/raw/ed_2025/59218637/ed_eur_meta_ac.gz","https://ndownloader.figshare.com/files/59218637","CC BY 4.0 article; file terms recorded from Figshare",57787516,"1fe54cb9cdbf5690e85c134e479b7bdde685ec026c072924332afbf32f4ffe94","2026-07-11T09:54:59Z"
"ed_2025","59218640","ed_eur_meta_ab.gz","03_data/raw/ed_2025/59218640/ed_eur_meta_ab.gz","https://ndownloader.figshare.com/files/59218640","CC BY 4.0 article; file terms recorded from Figshare",94371840,"8949789758a7d9d9070e21fa0f270b2e0260a5016b6f23f0e8b9baca26365083","2026-07-11T09:55:10Z"
"ed_2025","59218643","ed_eur_meta_aa.gz","03_data/raw/ed_2025/59218643/ed_eur_meta_aa.gz","https://ndownloader.figshare.com/files/59218643","CC BY 4.0 article; file terms recorded from Figshare",94371840,"7e9d2fda369770e3f5d04a446efcc916aaa46b8809535c450705aefa0adc6bdb","2026-07-11T09:55:23Z"
"ed_2025","59218646","ed_afr_meta_aa.gz","03_data/raw/ed_2025/59218646/ed_afr_meta_aa.gz","https://ndownloader.figshare.com/files/59218646","CC BY 4.0 article; file terms recorded from Figshare",94371840,"ca84b23418dbcc4d1371fc7409116b7533f448f5c1bb0be206ee5eeb52d74c09","2026-07-11T09:55:35Z"
"ed_2025","59218649","ed_cross_ancestry_meta_ac.gz","03_data/raw/ed_2025/59218649/ed_cross_ancestry_meta_ac.gz","https://ndownloader.figshare.com/files/59218649","CC BY 4.0 article; file terms recorded from Figshare",88209599,"0cfede9fb75ca8bdc1151335736f5fd0fc501ff1ea16b12b4a9786f1ae55ff63","2026-07-11T09:55:46Z"
"ed_2025","59218652","ed_afr_meta_ab.gz","03_data/raw/ed_2025/59218652/ed_afr_meta_ab.gz","https://ndownloader.figshare.com/files/59218652","CC BY 4.0 article; file terms recorded from Figshare",83037102,"dbb76df2d822b74c23303c88ef9e702266f5fb4ce644d041c0fb12f284064160","2026-07-11T09:55:57Z"
"ed_2025","59218655","ed_cross_ancestry_meta_aa.gz","03_data/raw/ed_2025/59218655/ed_cross_ancestry_meta_aa.gz","https://ndownloader.figshare.com/files/59218655","CC BY 4.0 article; file terms recorded from Figshare",94371840,"4591cfd17c152386b328d695e1a0c6f223d4cc58099407afba854cf1602f0c0d","2026-07-11T09:56:09Z"
"ed_2025","59218658","ed_cross_ancestry_meta_ab.gz","03_data/raw/ed_2025/59218658/ed_cross_ancestry_meta_ab.gz","https://ndownloader.figshare.com/files/59218658","CC BY 4.0 article; file terms recorded from Figshare",94371840,"b2807ce76c3e3bbd9068944cbac7563bd51a089b9b5979ee274b60b2d5a66992","2026-07-11T09:56:24Z"
"finngen_r12","finngen_R12_ERECTILE_DYSFUNCTION","finngen_R12_ERECTILE_DYSFUNCTION.gz","03_data/raw/finngen_r12/finngen_R12_ERECTILE_DYSFUNCTION/finngen_R12_ERECTILE_DYSFUNCTION.gz","https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ERECTILE_DYSFUNCTION.gz","FinnGen public summary-statistics terms",809561836,"4b349b22bc9d720ea016752a7e65cac25712b6bf329f14df92996a3fa1d1bcbb","2026-07-11T11:29:28Z"
"ld_reference_1kg","0d7f1506-233c-43ae-9aa7-52a4412e69f5","1000G_AFR.bim","03_data/raw/ld_reference_1kg/0d7f1506-233c-43ae-9aa7-52a4412e69f5/1000G_AFR.bim","https://zenodo.org/api/records/6614170/files/1000G_AFR.bim/content","1000 Genomes open data terms; Zenodo record metadata retained",51537337,"0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","2026-07-11T11:30:01Z"
"ld_reference_1kg","221e7389-5301-4b1c-8e56-93191285d68f","1000G_AFR.fam","03_data/raw/ld_reference_1kg/221e7389-5301-4b1c-8e56-93191285d68f/1000G_AFR.fam","https://zenodo.org/api/records/6614170/files/1000G_AFR.fam/content","1000 Genomes open data terms; Zenodo record metadata retained",12394,"f72357699ac7d927bff5d46de0c25c09f72028f3160aacc169b84623e1268848","2026-07-11T11:30:03Z"
"ld_reference_1kg","381efe6a-b527-48cf-813e-bf721d7b772f","1000G_EUR.bim","03_data/raw/ld_reference_1kg/381efe6a-b527-48cf-813e-bf721d7b772f/1000G_EUR.bim","https://zenodo.org/api/records/6614170/files/1000G_EUR.bim/content","1000 Genomes open data terms; Zenodo record metadata retained",51537337,"0375fd0274b00160f6b17a7d6b4759c1c236842b03067db9051364501478653e","2026-07-11T11:30:09Z"
"ld_reference_1kg","6b76823a-ff48-40d8-b813-db1dcd731471","1000G_AFR.bed","03_data/raw/ld_reference_1kg/6b76823a-ff48-40d8-b813-db1dcd731471/1000G_AFR.bed","https://zenodo.org/api/records/6614170/files/1000G_AFR.bed/content","1000 Genomes open data terms; Zenodo record metadata retained",299334181,"f8fe3cbeaa51e11aa073f9443eff9e8120d0e2d4aac0212ba8b78d5f79a14c39","2026-07-11T11:34:35Z"
"ld_reference_1kg","a47b7c9d-6d8a-4d0f-aed4-0d1cc156d16b","1000G_EUR.bed","03_data/raw/ld_reference_1kg/a47b7c9d-6d8a-4d0f-aed4-0d1cc156d16b/1000G_EUR.bed","https://zenodo.org/api/records/6614170/files/1000G_EUR.bed/content","1000 Genomes open data terms; Zenodo record metadata retained",231387159,"96da36833e797ceebcd5faf97bff4aa66cfdc0e3860a85a0d244e249f53a2463","2026-07-11T11:37:34Z"
"microbiome_2026","GCST90670368","GCST90670368.tsv.gz","03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670368/GCST90670368.tsv.gz","GWAS Catalog CC0 or accession-specific terms",127842396,"a7ad4dd4a4377b7943af2c36d100823dc7ac85e8e41afb36a8053262d5e18be3","2026-07-11T11:38:28Z"
"microbiome_2026","GCST90670368","GCST90670368.tsv.gz-meta.yaml","03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670368/GCST90670368.tsv.gz-meta.yaml","GWAS Catalog CC0 or accession-specific terms",756,"5cb979402e23aa3bc9d8ce81facc7444d0a8ae1a9e91ffa3dc405f3a6b6a840a","2026-07-11T11:38:29Z"
"microbiome_2026","GCST90670369","GCST90670369.tsv.gz","03_data/raw/microbiome_2026/GCST90670369/GCST90670369.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670369/GCST90670369.tsv.gz","GWAS Catalog CC0 or accession-specific terms",127803168,"72fa00b793f3d9b75dcfe7ca48a5e47ce688505d9b95880892816045521795e6","2026-07-11T11:38:42Z"
"microbiome_2026","GCST90670369","GCST90670369.tsv.gz-meta.yaml","03_data/raw/microbiome_2026/GCST90670369/GCST90670369.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670369/GCST90670369.tsv.gz-meta.yaml","GWAS Catalog CC0 or accession-specific terms",765,"231d9715fb131cf927885a53a1936e8b0368b0aa00d1b4fe4bc9dba4a843bded","2026-07-11T11:38:44Z"
"microbiome_2026","GCST90670370","GCST90670370.tsv.gz","03_data/raw/microbiome_2026/GCST90670370/GCST90670370.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670370/GCST90670370.tsv.gz","GWAS Catalog CC0 or accession-specific terms",127805009,"b50a8f8c382f9d4caabe58762bfb0a2eab6b74df310b002c2f68b8074c0c2d14","2026-07-11T11:38:58Z"
"microbiome_2026","GCST90670370","GCST90670370.tsv.gz-meta.yaml","03_data/raw/microbiome_2026/GCST90670370/GCST90670370.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670370/GCST90670370.tsv.gz-meta.yaml","GWAS Catalog CC0 or accession-specific terms",773,"f0fb1f2c60ea1ae3f3f84a3433f66f2647ec0f2df42676571de3680b91be5a57","2026-07-11T11:38:59Z"
"microbiome_2026","GCST90670371","GCST90670371.tsv.gz","03_data/raw/microbiome_2026/GCST90670371/GCST90670371.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670371/GCST90670371.tsv.gz","GWAS Catalog CC0 or accession-specific terms",127811047,"dff776e1270e3bb8706a805f6a8332066cd710eaa6c98274e178a5372e808e26","2026-07-11T11:39:16Z"
"microbiome_2026","GCST90670371","GCST90670371.tsv.gz-meta.yaml","03_data/raw/microbiome_2026/GCST90670371/GCST90670371.tsv.gz-meta.yaml","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670371/GCST90670371.tsv.gz-meta.yaml","GWAS Catalog CC0 or accession-specific terms",967,"d2118a98728f493f2a3ae96f13b9978ec5600ac82db95435948f5a0f20553f6c","2026-07-11T11:39:18Z"
"microbiome_2026","GCST90670372","GCST90670372.tsv.gz","03_data/raw/microbiome_2026/GCST90670372/GCST90670372.tsv.gz","https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90670001-GCST90671000/GCST90670372/GCST90670372.tsv.gz","GWAS Catalog CC0 or accession-specific terms",127734985,"faf96452a5fc5551a3167dd798b012718eab58a058c0c5b01ec727fcf2eab625","2026-07-11T11:39:32Z"
