"mediator_id","mediator_name","family","source_dataset","source_id","source_file","analysis_tier","download_wave","instrument_policy","outcome_overlap_class","status"
"cytokine_CTACK","CTACK","cytokine","cytokines_2025_meta","GCST90428399","GCST90428399.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_beta_NGF","beta-nerve growth factor","cytokine","cytokines_2025_meta","GCST90428400","GCST90428400.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CCL11","CCL11","cytokine","cytokines_2025_meta","GCST90428401","GCST90428401.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_FGF2","Fibroblast growth factor 2","cytokine","cytokines_2025_meta","GCST90428402","GCST90428402.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CSF3","CSF3","cytokine","cytokines_2025_meta","GCST90428403","GCST90428403.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CXCL1","CXCL1","cytokine","cytokines_2025_meta","GCST90428404","GCST90428404.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_HGF","Hepatocyte growth factor","cytokine","cytokines_2025_meta","GCST90428405","GCST90428405.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IFNG","Interferon gamma","cytokine","cytokines_2025_meta","GCST90428406","GCST90428406.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL10","Interleukin-10","cytokine","cytokines_2025_meta","GCST90428407","GCST90428407.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL13","Interleukin-13","cytokine","cytokines_2025_meta","GCST90428408","GCST90428408.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL16","Interleukin-16","cytokine","cytokines_2025_meta","GCST90428409","GCST90428409.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL17","Interleukin-17","cytokine","cytokines_2025_meta","GCST90428410","GCST90428410.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL18","Interleukin-18","cytokine","cytokines_2025_meta","GCST90428411","GCST90428411.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL1B","Interleukin-1 beta","cytokine","cytokines_2025_meta","GCST90428412","GCST90428412.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL1RA","Interleukin-1 receptor antagonist","cytokine","cytokines_2025_meta","GCST90428413","GCST90428413.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL2","Interleukin-2","cytokine","cytokines_2025_meta","GCST90428414","GCST90428414.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL2RA","Interleukin-2 receptor antagonist","cytokine","cytokines_2025_meta","GCST90428415","GCST90428415.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL4","Interleukin-4","cytokine","cytokines_2025_meta","GCST90428416","GCST90428416.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL5","Interleukin-5","cytokine","cytokines_2025_meta","GCST90428417","GCST90428417.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL6","Interleukin-6","cytokine","cytokines_2025_meta","GCST90428418","GCST90428418.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL7","Interleukin-7","cytokine","cytokines_2025_meta","GCST90428419","GCST90428419.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL8","Interleukin-8","cytokine","cytokines_2025_meta","GCST90428420","GCST90428420.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_IL9","Interleukin-9","cytokine","cytokines_2025_meta","GCST90428421","GCST90428421.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CXCL10","CXCL10 / IP-10","cytokine","cytokines_2025_meta","GCST90428422","GCST90428422.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CSF1","CSF1","cytokine","cytokines_2025_meta","GCST90428423","GCST90428423.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CCL2","CCL2 / MCP-1","cytokine","cytokines_2025_meta","GCST90428424","GCST90428424.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CCL7","CCL7","cytokine","cytokines_2025_meta","GCST90428425","GCST90428425.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_MIF","MIF","cytokine","cytokines_2025_meta","GCST90428426","GCST90428426.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CXCL9","CXCL9","cytokine","cytokines_2025_meta","GCST90428427","GCST90428427.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CCL3","CCL3","cytokine","cytokines_2025_meta","GCST90428428","GCST90428428.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CCL4","CCL4","cytokine","cytokines_2025_meta","GCST90428429","GCST90428429.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_PDGF_BB","PDGF-BB","cytokine","cytokines_2025_meta","GCST90428430","GCST90428430.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
