"mediator_id","mediator_name","source_id","lead_snp","instrument_class","heterogeneity_sensitivity_status","source_gwas_verification","outcome_id","outcome_overlap_class","harmonisation_status","nsnp","beta","se","ci_lower","ci_upper","p","p_for_fdr","q","fdr_alpha","fdr_significant","odds_ratio","or_ci_lower","or_ci_upper","instrument_F","analysis_status","evidence_label","family","family_denominator"
"cytokine_CTACK","CTACK","GCST90428399",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_beta_NGF","beta-nerve growth factor","GCST90428400",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_CCL11","CCL11","GCST90428401","rs763781","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,1.6031933882324,0.763767177392246,0.106209720543596,3.1001770559212,0.0358115822999516,0.0358115822999516,1,0.05,FALSE,4.9688746615979,1.11205507284703,22.2018819081146,33.942276,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_FGF2","Fibroblast growth factor 2","GCST90428402","rs76665547","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.168098955609785,0.243457027305496,-0.645274729128557,0.309076817908987,0.489900781867595,0.489900781867595,1,0.05,FALSE,0.845270186319269,0.52451842182154,1.3621670053055,639.280655999994,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CSF3","CSF3","GCST90428403",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_CXCL1","CXCL1","GCST90428404","rs2367442","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.0564620862808457,0.135761997793439,-0.209631429394294,0.322555601955985,0.677490340900768,0.677490340900768,1,0.05,FALSE,1.05808649804542,0.810883058560086,1.38065165565801,1058.331024,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_HGF","Hepatocyte growth factor","GCST90428405","rs17155615","paper_classified_cis_lead","retain_when_het_p_ge_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.280430040573983,0.538255098364563,-0.77454995222056,1.33541003336853,0.602367891745184,0.602367891745184,1,0.05,FALSE,1.32369893420537,0.460911166375748,3.80155439104288,71.4870249999995,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_IFNG","Interferon gamma","GCST90428406",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL10","Interleukin-10","GCST90428407",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL13","Interleukin-13","GCST90428408",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL16","Interleukin-16","GCST90428409","rs3848180","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.07832632763777,0.139254555055112,-0.351265255545789,0.194612600270249,0.573796727818411,0.573796727818411,1,0.05,FALSE,0.924662634331452,0.703797043024902,1.21484026652628,1140.885729,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_IL17","Interleukin-17","GCST90428410",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL18","Interleukin-18","GCST90428411","rs1852138","paper_classified_cis_lead","retain_when_heterogeneity_not_estimable","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.421131026569632,0.585556106236432,-1.56882099479304,0.726558941653775,0.472018672628029,0.472018672628029,1,0.05,FALSE,0.656304102500037,0.20829061336409,2.0679524055434,58.140625,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_IL1B","Interleukin-1 beta","GCST90428412",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL1RA","Interleukin-1 receptor antagonist","GCST90428413","rs6743171","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.0863424520910928,0.19028375511605,-0.45929861211855,0.286613707936365,0.650004242117411,0.650004242117411,1,0.05,FALSE,0.917280052955467,0.631726575520356,1.33190960797702,687.068944000005,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_IL2","Interleukin-2","GCST90428414",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL2RA","Interleukin-2 receptor antagonist","GCST90428415","rs56022334","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.868887213658246,0.509026399180235,-0.128804528735014,1.86657895605151,0.0878296658430895,0.0878296658430895,1,0.05,FALSE,2.38425620902749,0.879145796491977,6.46613757691786,59.721984,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_IL4","Interleukin-4","GCST90428416",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL5","Interleukin-5","GCST90428417",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL6","Interleukin-6","GCST90428418",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL7","Interleukin-7","GCST90428419",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL8","Interleukin-8","GCST90428420",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_IL9","Interleukin-9","GCST90428421",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_CXCL10","CXCL10 / IP-10","GCST90428422","rs1532985","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.128761772467238,0.201924108320218,-0.26700947984039,0.524533024774866,0.523685853751533,0.523685853751533,1,0.05,FALSE,1.13741912733514,0.76566581304127,1.68966963026478,54.081316,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CSF1","CSF1","GCST90428423","rs61785488","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.196604227834636,0.675118263034218,-1.5198360233817,1.12662756771243,0.770887273060404,0.770887273060404,1,0.05,FALSE,0.821515702030113,0.218747753528378,3.08523419233412,38.489616,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CCL2","CCL2 / MCP-1","GCST90428424",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_CCL7","CCL7","GCST90428425","rs74832623","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.0790470116285806,0.0782925520390046,-0.0744063903678684,0.23250041362503,0.312669515989794,0.312669515989794,1,0.05,FALSE,1.08225519945386,0.92829436728613,1.26175096825066,1282.929124,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_MIF","MIF","GCST90428426","rs9620336","paper_classified_cis_lead","retain_when_het_p_ge_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.0468064183564819,0.693527875795184,-1.31250821820208,1.40612105491504,0.946191367873543,0.946191367873543,1,0.05,FALSE,1.04791913153585,0.26914413683919,4.08009819249737,31.9564090000001,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CXCL9","CXCL9","GCST90428427",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_CCL3","CCL3","GCST90428428","rs764872","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.042478197294781,0.190999295020756,-0.416836815535462,0.331880420945901,0.82400269895294,0.82400269895294,1,0.05,FALSE,0.958411361253542,0.659128470695128,1.39358619482959,200.590568999999,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CCL4","CCL4","GCST90428429","rs56673427","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","outcome_rsid_missing",0,,,,,,1,1,0.05,FALSE,,,,235.837460852009,"not_estimable_after_harmonisation","non_estimable","cytokine_m_to_y",40
"cytokine_PDGF_BB","PDGF-BB","GCST90428430",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_RANTES","RANTES","GCST90428431","rs11650416","paper_classified_cis_lead","retain_when_het_p_ge_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.188640473254916,0.272315392109775,-0.722378641790076,0.345097695280243,0.488480318542785,0.488480318542785,1,0.05,FALSE,0.828084171589149,0.485595822618121,1.41212787115706,154.032921,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_SCF","Stem cell factor","GCST90428432",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_SCGF_B","Stem Cell Growth Factor-beta","GCST90428433","rs7246004","paper_classified_cis_lead","retain_when_het_p_ge_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.240738348055669,0.335278630041977,-0.416407766826607,0.897884462937944,0.472742038266175,0.472742038266175,1,0.05,FALSE,1.27218812126084,0.659411329590233,2.45440522971136,120.472576,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_CXCL12","CXCL12","GCST90428434","rs17391002","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.371029136062847,0.604789595941785,-1.55641674410875,0.814358471983051,0.539555926659361,0.539555926659361,1,0.05,FALSE,0.69002383668803,0.210890393173078,2.25772681265242,41.357761,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_TNFA","Tumor necrosis factor alpha","GCST90428435",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_TNFB","Tumor necrosis factor beta","GCST90428436",,"no_paper_classified_cis_lead","not_applicable","pending","finngen_r12_erectile_dysfunction","known_partial","not_attempted_no_cis_instrument",0,,,,,,1,1,0.05,FALSE,,,,,"not_estimable_no_cis_instrument","non_estimable","cytokine_m_to_y",40
"cytokine_TRAIL","TRAIL","GCST90428437","rs73169285","paper_classified_cis_lead","retain_when_het_p_ge_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,-0.429858824310855,0.260467861593767,-0.940375833034639,0.0806581844129289,0.0988747546054984,0.0988747546054984,1,0.05,FALSE,0.650600937275875,0.390481052098471,1.08400030503274,108.9936,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
"cytokine_VEGF","Vascular endothelial growth factor","GCST90428438","rs74556053","paper_classified_cis_lead","exclude_when_het_p_lt_0_05","verified","finngen_r12_erectile_dysfunction","known_partial","harmonised",1,0.374291698959641,0.288195290052571,-0.190571069543398,0.939154467462681,0.194032042580693,0.194032042580693,1,0.05,FALSE,1.45396120757694,0.826487017586799,2.55781778558499,234.487969,"estimated_screening_known_partial_overlap","screening_not_fdr_supported","cytokine_m_to_y",40
